Song,Artist,Date,Streams,Url,Rank
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,2019-01-04,"4,552,621",https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ,170
Splashin,Rich The Kid,2019-01-04,"4,551,699",https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,171
Mine,Bazzi,2019-01-04,"4,527,344",https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR,172
Ric Flair Drip (& Metro Boomin),Offset,2019-01-04,"4,493,480",https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,173
Jenifer,Gabriel Diniz,2019-01-04,"4,480,840",https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT,174
HUMBLE.,Kendrick Lamar,2019-01-04,"4,480,581",https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,175
No Es Justo,"J Balvin, Zion & Lennox",2019-01-04,"4,473,022",https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,176
Benzema,Capital Bra,2019-01-04,"4,454,127",https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,177
Young Dumb & Broke,Khalid,2019-01-04,"4,442,656",https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,178
Wolves,"Selena Gomez, Marshmello",2019-01-04,"4,403,727",https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,179
goosebumps,Travis Scott,2019-01-04,"4,379,111",https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,180
What Lovers Do,"Maroon 5, SZA",2019-01-04,"4,370,231",https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g,181
Topanga,Trippie Redd,2019-01-04,"4,364,531",https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO,182
Africa,TOTO,2019-01-04,"4,359,832",https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,183
Wonderwall - Remastered,Oasis,2019-01-04,"4,350,758",https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,184
We Will Rock You - Remastered,Queen,2019-01-04,"4,343,406",https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,185
Happier,Ed Sheeran,2019-01-04,"4,339,035",https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,186
Rewrite The Stars,"Zac Efron, Zendaya",2019-01-04,"4,335,302",https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,187
I'm Yours,Jason Mraz,2019-01-04,"4,276,550",https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,188
Something Just Like This,"The Chainsmokers, Coldplay",2019-01-04,"4,181,275",https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,189
come out and play,Billie Eilish,2019-01-04,"4,166,861",https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4,190
Call Out My Name,The Weeknd,2019-01-04,"4,131,614",https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,191
Happy Now,"Zedd, Elley Duhé",2019-01-04,"4,127,591",https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,192
MAMA,"6ix9ine, Nicki Minaj, Kanye West",2019-01-04,"4,121,707",https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo,193
Someone You Loved,Lewis Capaldi,2019-01-04,"4,117,240",https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,194
Ocean (feat. Khalid),Martin Garrix,2019-01-04,"4,104,898",https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,195
Look At Me!,XXXTENTACION,2019-01-04,"4,096,358",https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,196
Silence,"Marshmello, Khalid",2019-01-04,"4,094,264",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,197
